"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"J5";"Buzzer";1;"Pin_del_laser";;;
2;"L1";"L_Taiyo-Yuden_MD-4040";1;"BWVS006060456R8M00";;;
3;"D6";"D_SMA";1;"US1K";;;
4;"C10";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
5;"C11";"L_1206_3216Metric";1;"163u";;;
6;"J1";"MLX_90614";1;"MLX90614";;;
7;"R16,R15";"C_0805_2012Metric";2;"4,7k";;;
8;"F1";"Fuse_2512_6332Metric";1;"500mA MAX";;;
9;"J4";"PinHeader_1x06_P2.54mm_Verticaldesaligne";1;"Conn_01x06_Female";;;
10;"SW1";"SW_SPST_PTS645";1;"RESET";;;
11;"D4";"D_SOD-123";1;"MBR120";;;
12;"J7";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
13;"U3";"SOT-23-5";1;"MCP73831-2-OT";;;
14;"U2";"Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias";1;"TPS61090";;;
15;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
16;"SW2";"SW_SPST_PTS645";1;"SW_ON/OFF";;;
17;"R14,R13,R1";"C_0805_2012Metric";3;"10k";;;
18;"R12,R9";"C_0805_2012Metric";2;"2k";;;
19;"R11,R10,R8";"C_0805_2012Metric";3;"1k";;;
20;"R7";"C_0805_2012Metric";1;"200k";;;
21;"R6,R2";"C_0805_2012Metric";2;"1,87M";;;
22;"R5";"C_0805_2012Metric";1;"470";;;
23;"R4";"C_0805_2012Metric";1;"100";;;
24;"R3";"C_0805_2012Metric";1;"340k";;;
25;"Q2";"SOT-23";1;"NTR5103NT1GOSCT";;;
26;"Q1";"SOT-523";1;"DTA143Z";;;
27;"J6";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_microUSB";;;
28;"J3";"PinSocket_1x02_P2.54mm_Vertical";1;"Pin_del_laser";;;
29;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"header_oled";;;
30;"D5";"D_0805_2012Metric";1;"LEDBLUE";;;
31;"D3";"D_0805_2012Metric";1;"LEDRED";;;
32;"D2";"D_0805_2012Metric";1;"GREEN";;;
33;"D1";"D_0805_2012Metric";1;"YELLOW";;;
34;"C12,C5,C3";"C_0805_2012Metric";3;"1u";;;
35;"C9";"C_0805_2012Metric";1;"2,2uF";;;
36;"C8";"C_0805_2012Metric";1;"10u";;;
37;"C7";"C_0805_2012Metric";1;"0,1uF";;;
38;"C6";"C_0805_2012Metric";1;"10uF";;;
39;"C4";"C_0805_2012Metric";1;"4,7u";;;
40;"C2,C1";"C_0805_2012Metric";2;"22p";;;
41;"8MHz1";"Crystal_SMD_HC49-SD";1;"Crystal";;;
